Customer_ID,Product_Name,Category,Customer_State,Customer_Segment,Price
CUST-661B046A,Skincare Basic,Beauty,California,Home Office,77.18
CUST-3343C4AA,Building Blocks Basic,Toys,California,Consumer,61.49
CUST-1FE16472,Smartwatch Deluxe,Electronics,Texas,Consumer,534.8
CUST-7B893477,Sofa Basic,Furniture,California,Consumer,242.28
CUST-C3BE1855,Smartwatch Essential,Electronics,Ohio,Consumer,164.88
CUST-C0D10811,Novel Essential,Books,Pennsylvania,Consumer,32.88
CUST-531B0212,Novel Standard,Books,New York,Corporate,39.15
CUST-A2761D37,Haircare Basic,Beauty,Florida,Corporate,89.76
CUST-498AB75D,Action Figure Basic,Toys,California,Corporate,69.36
CUST-6E4A3067,Notebook Essential,Office Supplies,Texas,Consumer,7.98
CUST-9A43F58F,Keyboard Standard,Technology,California,Corporate,104.33
CUST-5AA395A4,Blender Essential,Home & Kitchen,Washington,Consumer,92.06
CUST-F9E849BF,Self-Help Book Basic,Books,Florida,Consumer,17.93
CUST-14AE98C5,Utensils Basic,Home & Kitchen,Texas,Home Office,23.98
CUST-97CFB2AA,Notebook Deluxe,Office Supplies,California,Consumer,11.2
CUST-47C0B018,Fragrance Standard,Beauty,California,Home Office,82.39
CUST-C30CE939,Sofa Pro,Furniture,Illinois,Home Office,96.04
CUST-67ACB8E6,Camera Pro,Electronics,California,Consumer,85.82
CUST-CC7898C5,Bookcase Pro,Furniture,Pennsylvania,Corporate,97.04
CUST-109A8CF8,Doll Standard,Toys,New York,Corporate,31.04
CUST-595D0446,Cabinet Pro,Furniture,Texas,Corporate,436.19
CUST-78D4B1B2,Smartwatch Pro,Electronics,Florida,Consumer,184.07
CUST-F053A978,Knife Set Basic,Home & Kitchen,California,Corporate,171.38
CUST-96B7BDDC,Reference Guide Deluxe,Books,California,Corporate,17.6
CUST-5C899CC8,Laptop Deluxe,Technology,California,Consumer,470.11
CUST-4A2866B2,Blender Standard,Home & Kitchen,Washington,Corporate,88.94
CUST-EC62928B,Printer Essential,Electronics,California,Consumer,422.41
CUST-CB9F2407,Monitor Premium,Technology,Pennsylvania,Home Office,859.16
CUST-6C96E5C6,Phone Pro,Technology,California,Consumer,513.01
CUST-22089603,Makeup Basic,Beauty,California,Corporate,102.19
CUST-B1F1C574,Shoes Essential,Clothing,Texas,Corporate,126.68
CUST-5F048ADA,Shirt Basic,Clothing,Texas,Consumer,58.18
CUST-F3240719,Pen Set Deluxe,Office Supplies,Washington,Consumer,59.11
CUST-AEA112D1,Binder Essential,Office Supplies,Ohio,Consumer,8.62
CUST-2B14BBDE,Pen Set Premium,Office Supplies,Pennsylvania,Corporate,23.58
